	I213_B_31	I213_B_32	I213_B_33	I213_B_41	I213_B_42	I213_B_43	I213_B_51	I213_B_52	I213_B_53	I213_C_31	I213_C_32	I213_C_33	I213_C_41	I213_C_42	I213_C_43	I213_C_51	I213_C_52	I213_C_53
STN4L_00264	6642	5655	5857	5992	4712	4622	4572	3739	4420	7614	5971	7998	4544	5406	4011	2579	3256	2391
STN4L_00265	59	43	85	74	66	45	80	69	48	128	84	74	119	95	82	54	54	59
STN4L_00266	38514	29382	31509	36710	28829	26297	29007	22823	27354	41501	31732	35805	28854	32301	27972	19762	23449	18266
STN4L_00267	302	243	308	360	310	234	913	515	833	503	459	387	398	330	334	682	477	644
STN4L_00268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_00269	275	163	268	326	276	229	755	432	681	408	339	356	318	311	287	587	474	583
STN4L_00270	3210	2072	2441	2937	2189	2088	3396	2516	3227	2665	2025	2278	2733	2654	2528	3477	3287	3188
STN4L_00271	358	397	406	313	310	234	196	176	231	425	373	531	321	360	320	208	239	173
STN4L_00272	864	840	974	865	745	583	434	356	381	1410	1126	1587	909	848	754	375	379	330
STN4L_00273	1033	841	908	820	544	478	160	122	152	1273	1259	1484	771	640	539	138	133	165
STN4L_00274	326	366	337	333	270	215	72	78	81	566	505	482	363	259	234	58	66	65
STN4L_00275	864	724	973	922	702	611	210	170	189	1472	1290	1453	1000	822	796	187	250	171
STN4L_00276	304	246	284	233	195	168	64	53	69	388	395	383	268	260	209	52	66	62
STN4L_00277	5323	5661	4959	3751	3716	2792	1404	1297	1242	7927	6029	7288	3749	3464	3243	813	1123	848
STN4L_00278	9912	8905	7702	10361	7330	6365	20170	17783	17671	10238	8018	8150	9518	8933	9890	13204	13824	11468
STN4L_00279	193600	146138	125755	173422	129159	121469	108889	96118	113018	162348	119122	127814	120119	128973	110953	73066	79475	75904
STN4L_00280	19731	17889	15564	18645	15016	13537	19372	15037	17965	19637	15165	17712	15632	16600	15281	16178	16718	13582
STN4L_00281	7212	6364	6017	7427	5787	5508	9082	7030	8537	8584	6721	8201	5950	6320	5664	6673	6547	6553
STN4L_00282	3873	3815	3013	4299	3562	3236	4094	3253	3614	4373	3137	4276	3312	4027	3255	3889	3948	3139
STN4L_00283	25676	24285	26241	28984	23949	21744	26787	19703	22305	33225	27265	32867	25171	24375	21277	18663	18177	15691
STN4L_00284	302	329	342	469	388	294	409	272	300	429	283	400	501	327	317	319	305	256
STN4L_00285	431	520	552	674	588	524	588	430	421	654	628	703	717	631	536	426	399	360
STN4L_00286	130	137	174	263	183	147	148	110	112	240	192	193	198	241	206	99	122	80
STN4L_00287	7136	6678	6535	6590	5529	4797	4972	3886	4218	7743	6659	7012	5675	5624	5240	3281	3553	2736
STN4L_00288	28349	27873	23096	26973	21673	17656	11768	10669	9281	36197	21064	24019	21873	19498	17754	6311	7138	4997
STN4L_00289	1149	1108	1184	1479	1046	739	758	528	468	1997	1434	1299	1549	990	985	389	497	288
STN4L_00290	7476	7042	6783	2452	2204	2081	1191	1108	1347	2053	1906	2153	1166	1650	1450	572	818	709
STN4L_00291	5290	4613	4875	1691	1597	1613	1041	862	1060	1538	1267	1522	859	1324	1068	594	725	677
STN4L_00292	6059	5087	5797	1915	1756	1744	1261	926	1247	1686	1686	1753	981	1502	1170	636	772	735
STN4L_00293	149736	107047	102958	163176	122360	112283	176653	136254	173238	115532	83782	95566	113287	137698	128039	157196	146367	144564
STN4L_00294	266651	201212	188693	291917	226486	214195	265867	223194	254546	220340	160851	186931	200930	236010	207330	185116	212550	181841
STN4L_00295	49150	38773	37115	43765	33384	29380	32395	26549	29854	46589	35693	36805	36759	40396	35161	24573	24626	20527
STN4L_00296	8825	8004	7301	8473	7467	6521	7838	5869	7588	7319	5508	6892	6479	7219	6123	6668	6790	5601
STN4L_00297	7556	5881	8352	9648	7447	6544	8284	6444	6105	10124	8930	8647	8825	9015	8029	4574	5296	4578
STN4L_00298	11888	11093	10317	12002	10912	9569	7942	6910	6492	12596	9647	11933	9677	9766	8692	3890	4744	3208
STN4L_00299	101	79	88	109	54	87	67	72	66	91	90	114	102	66	51	26	28	21
STN4L_00300	11836	9289	9705	12665	10201	10199	9911	7319	9692	10320	7989	9229	9277	11465	9857	9763	8880	9745
STN4L_00301	18274	14744	14243	19364	13638	13682	17353	12723	17104	16579	13024	14338	15089	15089	12631	14767	12872	13625
STN4L_00302	4288	3423	3142	3707	2680	2736	3009	2717	2600	3197	2345	2817	2494	2700	2298	1527	1981	1058
STN4L_00303	16426	14335	14703	17682	12839	13623	14906	12685	12670	18068	13836	15436	13084	14435	12327	6261	9040	4914
STN4L_00304	6696	5919	5413	6960	5990	5861	7865	5641	7217	6917	5836	5865	5062	5776	5345	4664	5073	4161
STN4L_00305	14702	12781	11714	14612	12223	11552	14865	10775	13422	13115	10991	11730	11043	12177	10481	10742	11085	9009
STN4L_00306	25706	22212	19955	26352	20657	18754	23986	18629	22267	23031	17518	19744	19502	20916	17961	19695	18505	16217
STN4L_00307	2090	1628	1603	2213	1598	1453	2466	2021	2420	1951	1388	1533	1788	1773	1458	1818	1794	1701
STN4L_00308	2349	1896	1591	2560	1809	1882	3119	2195	2794	2098	1708	1875	1714	2211	2019	2433	2593	1984
STN4L_00309	3871	3052	3084	4043	3123	3115	5371	4249	5197	3768	2912	3280	2704	3073	2760	3099	3487	2769
STN4L_00310	12	10	10	25	15	10	22	24	32	17	17	11	9	7	7	11	12	18
STN4L_00311	2879	2449	2176	3098	2433	2219	3945	2949	3630	2648	1830	2321	2233	2377	1877	2594	2584	2255
STN4L_00312	8516	7094	6654	9360	7220	7221	11184	8526	10553	7203	5446	6994	6499	7381	5796	8276	8532	6385
STN4L_00313	34202	27607	26360	29093	21961	21539	22603	18906	19393	27793	22750	23436	20667	23686	20438	11574	15746	10530
STN4L_00314	36068	31562	26154	28520	21948	21119	20868	17824	18366	26881	22431	25310	19445	21949	17924	10664	14522	8861
STN4L_00315	48277	40423	36371	42077	30804	28853	29008	24643	25608	39344	28186	32112	33192	34366	28609	20356	25990	17010
STN4L_00316	65	73	60	79	84	69	115	78	109	102	69	77	112	103	86	86	90	59
STN4L_00317	527	515	563	763	725	640	916	669	809	912	707	776	758	723	688	606	628	537
STN4L_00318	27	29	34	40	44	42	47	53	52	61	72	76	45	42	45	41	60	38
STN4L_00319	283	247	241	357	245	253	368	234	333	341	211	280	263	267	299	321	274	191
STN4L_00320	11	1	3	14	13	8	20	15	14	7	4	10	16	7	11	18	8	19
STN4L_00321	15239	12810	11876	16650	13522	13405	9327	7745	7266	16401	12132	16393	12918	15391	11657	5292	6849	3725
STN4L_00322	5275	4626	4561	5552	4929	4289	3209	2640	2471	5915	4716	5704	5349	5125	4760	2116	2645	1788
STN4L_00323	5232	4516	4270	4940	3865	3909	3681	3071	3107	6224	4732	5440	4441	4477	3945	1916	2257	1543
STN4L_00324	4330	3891	3691	4455	3786	3441	3484	3005	3083	5701	4735	5367	3597	4095	3428	1853	2174	1838
STN4L_00325	3723	3241	3259	3460	3123	2812	2964	2457	2745	4594	3686	4266	3340	3465	3152	2044	2206	1799
STN4L_00326	34	22	33	29	36	26	21	26	26	32	34	46	40	28	21	22	27	13
STN4L_00327	0	0	0	2	0	7	0	1	1	0	1	1	2	1	1	0	0	0
STN4L_00328	118	111	115	145	113	150	147	114	132	202	134	198	139	142	128	93	95	84
STN4L_00329	62	35	35	33	50	38	44	48	46	61	36	58	47	43	27	23	23	31
STN4L_00330	1	4	4	2	1	1	4	4	5	6	4	3	6	3	3	5	3	0
STN4L_00331	2	7	2	5	4	9	1	2	9	8	3	4	2	7	0	4	2	0
STN4L_00332	2	5	0	2	3	1	6	0	4	0	2	2	1	0	1	0	3	0
STN4L_00333	2	5	5	0	0	1	5	1	4	4	4	5	1	5	1	1	1	1
STN4L_00334	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
STN4L_00335	3342	3069	2902	2313	1894	1724	930	824	755	4330	3494	4332	2854	3485	3037	1190	1874	1082
STN4L_00336	2591	2243	2079	1674	1241	1186	762	749	677	3238	2623	3188	1938	2743	2420	962	1507	885
STN4L_00337	1681	1644	1620	1094	1043	943	574	477	492	2438	2064	2237	1507	2054	1855	745	1014	790
STN4L_00338	5365	4763	4304	3455	3148	3287	1609	1382	1391	7234	5248	6446	4080	6019	4931	1869	3094	1805
STN4L_00339	1400	1304	1183	1003	821	848	511	444	425	2062	1880	1845	1063	1588	1487	545	848	662
STN4L_00340	2512	2170	1974	1545	1246	1251	712	625	699	3119	2473	3052	1743	2527	2051	889	1284	998
STN4L_00341	3635	3253	2465	2153	1713	1848	996	774	852	4042	3062	4013	2231	3320	2577	1139	1565	1125
STN4L_00342	2020	1886	1134	1082	872	867	450	400	450	2140	1552	2122	1060	1363	1181	485	685	473
STN4L_00343	1497	1414	1251	1086	900	989	481	413	417	2202	1992	2468	1281	1615	1418	492	709	620
STN4L_00344	1068	949	717	577	496	472	251	255	278	1120	867	1226	579	777	658	290	461	293
STN4L_00345	15509	14771	13760	13777	11646	10044	5768	5156	4708	18354	15293	17099	13171	12287	10680	3799	4424	3697
STN4L_00346	11460	12533	11736	11380	10917	8539	3196	2976	2602	14934	11971	15727	10531	9073	7702	1957	2457	1973
STN4L_00347	8015	8122	7844	7277	6753	5158	2128	2116	1793	10368	8709	10983	6447	5642	5337	1237	1547	1309
STN4L_00348	7299	6706	5527	5380	4984	3883	1558	1673	1428	7925	5710	7382	4752	4977	4514	1073	1438	1001
STN4L_00349	8057	7755	7319	5885	5867	4675	1765	1838	1706	9907	6757	8744	5607	6363	5929	1514	1876	1476
STN4L_00350	9852	8869	8577	6684	6969	6488	2316	2260	2227	12561	9190	11565	5633	7274	6168	1690	1827	1706
STN4L_00351	13041	11872	9467	11284	9474	8059	5904	4960	5096	11063	7788	10492	8799	9324	6696	4190	4594	3882
STN4L_00352	7710	6555	8493	10366	8369	7155	7014	6067	5981	12130	9616	10220	10321	9352	8558	5165	5450	4233
STN4L_00353	6819	6093	6211	8482	6807	5821	5102	4275	4327	8860	7057	8603	7146	6706	5846	3919	3933	3041
STN4L_00354	2771	2383	2437	3127	2275	2114	2008	1683	1711	3346	2316	2889	2760	2654	2351	1645	1643	1303
STN4L_00355	1964	1712	2188	3003	2742	2527	3241	2004	2458	4115	3216	3435	3033	2851	2446	1885	1889	1706
STN4L_00356	170	167	117	210	177	132	224	143	182	219	139	158	170	173	140	152	111	133
STN4L_00357	355	276	304	421	310	330	509	409	507	526	403	400	399	354	297	280	288	295
STN4L_00358	126	66	113	111	97	99	188	159	129	143	115	107	125	113	114	96	71	54
STN4L_00359	14604	12851	11710	17563	14006	14742	17248	12887	15217	14243	10617	12716	13558	15220	13091	11694	12378	9429
STN4L_00360	1001	888	903	1173	763	758	1225	977	970	989	798	822	930	949	883	666	834	526
STN4L_00361	12666	10332	8138	12790	9295	9591	10508	8168	9430	10053	7026	9616	10410	11147	8795	8544	9329	6638
STN4L_00362	22141	19444	19965	27308	21425	21106	23833	18142	20009	25525	18130	22561	23549	24325	20426	18361	20348	13232
STN4L_00363	8710	7493	7176	10893	8446	7794	8591	6648	7645	10545	7389	9663	8075	8051	7279	5462	6644	4847
STN4L_00364	27060	24050	25367	31911	24969	22699	26303	20267	22070	33320	22972	29038	29752	27781	25014	19112	20979	14662
STN4L_00365	15590	13658	14477	17728	13849	13116	16456	12391	14395	19563	15240	16474	15914	15714	14730	10643	11895	8532
STN4L_00366	28082	24991	22843	29475	25329	23184	21970	17160	19422	30429	22030	29522	23742	25756	21880	15533	17027	12133
STN4L_00367	5702	5678	5262	5796	4802	4472	4965	3797	4462	6967	5139	6346	4987	4775	4174	2952	2763	2770
STN4L_00368	62507	50591	55893	60174	48711	43258	54708	39314	44192	57531	46671	53606	49120	52161	46952	41968	42816	36647
STN4L_00369	4019	2909	4763	5358	3623	4335	8255	5798	7355	5268	4565	4397	4583	6059	5428	5528	6033	3350
STN4L_00370	12088	9783	9032	9918	8871	8355	6791	5187	5575	9255	7697	8799	7289	8826	6817	4906	5145	4266
STN4L_00371	120759	106667	94464	90733	68855	61108	61396	50751	63187	104964	79649	91831	61128	70799	60430	46908	46131	42862
STN4L_00372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_00373	6722	5094	5055	6603	4754	4786	6267	4888	5372	5267	4806	4964	5172	6389	5490	3609	4810	3213
STN4L_00374	7380	6238	5994	7959	6209	6287	7750	6400	7199	6926	6426	6599	6456	7527	6256	5317	6709	5104
STN4L_00375	3048	2659	2864	3496	2768	2923	3645	3025	3404	3255	2767	3341	2723	3488	2666	2344	3021	2090
STN4L_00376	10080	9315	7505	10424	8478	8721	10564	8254	10214	9310	7875	8883	9089	10254	8700	8362	10199	7059
STN4L_00377	2428	2567	2826	2658	2244	2261	2963	2407	2951	2594	2144	2646	2645	2865	2749	2512	3167	2556
STN4L_00378	22164	19042	21855	16809	13616	12674	10687	8163	9480	23749	21030	21443	13424	15589	14297	6612	7970	6070
STN4L_00379	22938	19507	19946	28105	22401	22220	29564	22970	26254	20459	16694	19957	20899	23125	19620	21623	22516	18325
STN4L_00380	202374	181164	151439	185183	152848	145453	151140	124819	133984	195926	143822	167110	143242	149841	127013	101306	105272	80177
STN4L_00381	179824	144638	127332	151313	111225	102735	147961	119864	138899	138268	107772	117719	114303	114430	100433	106890	108251	101731
STN4L_00382	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0
STN4L_00383	0	0	2	2	0	1	5	0	2	3	0	2	7	2	2	2	2	2
STN4L_00384	43	42	27	52	42	44	35	38	19	41	38	55	33	36	36	16	17	21
STN4L_00385	0	2	2	9	4	5	4	5	5	6	3	3	7	6	7	8	1	2
STN4L_00386	67	51	67	88	60	46	37	32	28	63	63	75	72	76	71	49	40	34
STN4L_00387	34	35	37	35	30	32	38	31	35	33	32	48	23	44	29	25	9	19
STN4L_00388	66	53	47	33	40	28	37	28	33	54	46	47	35	54	52	28	24	38
STN4L_00389	2	7	4	6	1	4	4	4	5	3	1	9	6	6	6	7	2	4
STN4L_00390	383	287	508	459	288	241	628	403	487	689	613	442	522	475	404	346	315	315
STN4L_00391	6446	5877	5523	5993	4835	4342	3205	2513	2273	6913	5189	6433	5150	5423	4391	2114	2859	1759
STN4L_00392	2870	2404	1950	2075	1715	1403	1191	1147	968	2606	2167	2385	1836	1915	1746	787	975	760
STN4L_00393	4889	4437	3781	3250	3126	2569	1853	1598	1529	4357	3321	3959	2920	2884	2800	1317	1563	1145
STN4L_00394	33558	29672	27216	40024	33141	29210	17976	17751	13859	40616	28550	34171	33955	31540	27275	8989	12090	7864
STN4L_00395	5143	4420	4497	6650	5543	4817	2184	2057	1609	7351	5093	6864	6170	5731	5126	1134	1551	1050
STN4L_00396	5047	4842	4814	5275	4506	3965	2161	2259	1766	6944	5480	6492	5018	4625	4267	1120	1405	1082
STN4L_00397	582	512	450	660	642	511	274	221	189	799	617	646	594	593	523	123	175	134
STN4L_00398	1522	1351	1695	1901	1743	1346	833	732	594	2428	1965	2337	1692	1491	1719	420	560	418
STN4L_00399	6731	5881	6242	5931	4539	4363	2309	2091	1843	8431	6390	7243	5835	5304	4479	1190	1447	1193
STN4L_00400	5718	5210	4325	4891	4292	3620	2185	2194	1851	6666	5070	5533	4500	4474	3709	1101	1409	1126
STN4L_00401	1434	1288	1173	895	818	737	395	349	373	1333	1171	1382	710	728	661	227	277	200
STN4L_00402	3606	3585	2925	2229	2043	1508	1026	870	898	3468	3000	3325	1916	2087	1855	689	805	626
STN4L_00403	20084	16725	15180	11881	10949	9502	4329	3844	4642	17833	13203	18060	9089	10025	8424	3309	3283	2928
STN4L_00405	391	395	308	428	435	354	327	410	350	289	246	370	411	441	340	215	331	179
STN4L_00406	10816	5654	8550	13132	7464	8408	13117	9188	10254	9343	6292	6737	10545	11516	9883	7828	9775	5513
STN4L_00407	5792	5284	5124	6340	5350	5219	3834	3571	2710	6051	4875	5774	4808	5281	4729	1634	2273	1293
STN4L_00408	4984	3953	3618	4748	3488	3023	2673	2237	1876	3711	3019	3616	3160	3624	2852	1247	1847	1098
STN4L_00409	19238	16082	17594	21919	17763	15592	12227	11501	9930	20484	15184	18629	17198	18223	15786	6983	9726	5661
STN4L_00410	2479	2012	2326	3153	2364	2303	4699	2999	4375	2637	2277	2565	2571	2777	2625	4628	3494	3765
STN4L_00411	21077	15537	14857	18302	13756	12552	6656	6572	5435	18235	13229	15388	14766	15012	13939	3062	4447	2766
STN4L_00412	38	40	61	38	24	25	13	13	21	93	66	51	26	24	35	16	2	11
STN4L_00413	7120	6194	6739	6244	5043	4748	4694	3271	4422	7050	6093	7374	4587	5713	4504	4445	3737	3825
STN4L_00414	10852	9318	8384	8930	6601	6075	6657	4767	6535	9850	8439	9565	6651	7350	5643	6451	5722	5736
STN4L_00415	1138	1164	1393	1194	1057	864	903	677	733	1787	1781	1726	1229	1067	880	508	560	525
STN4L_00416	16762	15159	13091	15339	12443	10642	10859	8375	9108	17970	14644	17092	10832	11519	9867	6646	7121	5360
STN4L_00417	985	1099	1067	1108	897	820	735	647	682	1581	1195	1585	919	954	811	487	476	338
STN4L_00418	1673	1597	1750	1816	1434	1125	1056	856	807	2838	2348	2740	1714	1510	1551	948	850	671
STN4L_00419	22350	16525	18869	28749	20170	19773	39155	29608	44386	18892	13417	13625	20413	19251	17041	27580	25348	29957
STN4L_00420	43781	32324	31977	52739	35831	35432	55631	40991	60248	25871	17739	21287	32683	34381	27904	48599	45207	49841
STN4L_00421	44160	35323	37527	52673	39550	37076	58507	43867	62396	26953	20243	24722	34109	35848	30684	50948	45979	46449
STN4L_00422	43953	32094	38652	57239	39037	36664	60323	41643	59043	25628	18282	19447	41351	50433	42689	62332	57645	58829
STN4L_00423	19091	14937	13595	18282	15585	14153	22701	15982	23508	16402	13108	13431	12626	15849	13904	21095	18978	19939
STN4L_00424	19424	17105	16244	20952	16380	15334	25635	17177	24600	17434	14594	15878	14767	16619	14388	22769	19271	21802
STN4L_00425	10362	9308	10813	13263	10415	9945	16123	10148	14881	12448	10362	11859	11454	11462	10162	16877	13593	13911
STN4L_00426	1906	1844	1737	2641	1958	1903	1938	1343	1730	1766	1243	2409	1838	2367	1632	2498	2566	2036
STN4L_00427	5	1	5	2	3	5	3	5	6	6	7	6	8	16	13	11	14	10
STN4L_00428	18436	16073	15687	17082	13159	12164	11718	9716	9504	15799	12170	14604	14054	14750	13087	8306	9734	6347
STN4L_00429	10623	8639	8424	10013	7825	7492	7339	6313	6455	8761	7260	7817	7420	7845	7247	4457	5192	3569
STN4L_00430	191	109	260	264	196	208	457	273	332	303	307	194	311	349	371	406	337	264
STN4L_00431	9	6	7	8	3	6	12	8	16	7	7	8	19	8	15	12	10	5
STN4L_00432	1037	905	770	1163	928	992	1545	1241	1682	1074	779	990	899	1057	890	1119	937	1084
STN4L_00433	1632	1737	1816	2569	2451	2230	3188	2197	2653	2026	1940	1888	2379	2383	2353	3095	2907	3255
STN4L_00434	1792	1389	1954	2698	2151	1942	3682	2445	3146	1624	1717	1558	2128	2310	2464	3495	2903	2789
STN4L_00435	33429	34845	27433	36253	29826	24690	28325	23296	24221	52094	38098	43207	37625	31636	27726	16964	17049	16127
STN4L_00436	4827	3622	3439	4280	3434	3035	5318	3617	4748	4250	3072	3708	3264	3520	3164	3892	3266	3103
STN4L_00437	900	861	928	930	788	787	762	584	675	874	743	908	714	871	616	594	562	486
STN4L_00438	2184	1737	1921	2712	2113	2202	5093	3493	4998	1654	1200	1374	1968	2158	2087	4196	3176	3376
STN4L_00439	2572	2274	2621	3149	2774	2080	2373	1654	1608	3659	3338	2568	2421	2466	2310	1275	1328	1322
STN4L_00440	24082	21147	19210	23238	18895	17793	14930	11522	11403	25161	17788	23223	18634	20265	15794	8787	9614	7410
STN4L_00441	17388	14682	14233	16189	13292	11872	10587	8418	8704	18030	14131	15303	12937	12800	11963	6300	6689	5731
STN4L_00442	10343	8391	8941	9217	7331	6714	6528	5737	5963	10811	8463	8785	7645	7234	6951	3600	4030	3529
STN4L_00443	7178	6172	6917	6678	5040	5042	5535	4510	4987	7180	6124	6630	5520	5804	4919	3415	3806	2891
STN4L_00444	9001	8200	7340	7928	6760	5972	6240	5339	5750	8317	7154	7673	6238	6532	5493	3540	4018	3472
STN4L_00445	14028	12924	12188	12537	10048	9965	8055	6742	7198	12116	9027	12545	8897	10191	8229	4719	5845	4299
STN4L_00446	13243	10072	14334	19382	14819	13467	24511	16481	22546	15016	13459	14434	14974	15681	14827	21485	17847	21305
STN4L_00447	7	10	13	29	42	25	41	38	38	20	27	21	57	70	77	73	68	51
STN4L_00448	8519	6698	6997	8567	7011	7168	11230	8094	11412	7648	6172	7130	6130	7255	6719	9611	8970	8923
STN4L_00449	6525	6657	6045	6634	5745	5625	7322	5717	7888	7913	7566	7954	5438	5805	5307	5369	5535	5433
STN4L_00450	10666	9025	9917	10851	8613	7620	11294	7868	10729	11954	10285	9427	9392	9351	9042	10211	8969	9853
STN4L_00451	6034	5197	5748	5893	4662	4041	4488	3523	4275	6413	5665	6203	5190	5750	4919	4133	4338	3421
STN4L_00452	29242	25095	27947	21046	20797	16413	7815	6769	6379	39868	34621	40082	20531	22291	21223	5888	6317	5548
STN4L_00453	21696	17850	22259	16952	17024	13040	6711	5746	5744	30698	27769	29503	17151	17964	17929	5177	5648	5286
STN4L_00454	5902	4317	4958	3625	3467	2596	1733	1463	1652	6639	6038	5852	3167	3765	3134	983	1121	1310
STN4L_00455	9	8	6	14	4	10	9	15	8	17	10	14	14	14	7	3	6	4
STN4L_00456	20	35	25	50	34	29	37	33	44	38	29	49	32	41	34	36	40	18
STN4L_00457	2863	1720	2390	2984	1921	1916	2134	1792	1970	2354	1835	1663	2154	2648	2325	1689	1892	1353
STN4L_00458	30020	26328	26803	37096	27562	26796	64796	49366	52235	34639	27692	27297	31443	31517	31262	36734	40679	28694
STN4L_00459	764	800	837	1105	842	915	3988	2741	2901	1060	892	1158	1099	1166	1201	1962	2470	1259
STN4L_00460	43	61	77	75	104	81	182	135	135	111	110	131	103	67	104	106	117	66
STN4L_00461	7	9	11	16	13	14	10	15	7	15	12	24	19	20	25	11	9	4
STN4L_00462	36	33	51	91	79	65	127	120	102	76	82	93	68	67	90	80	85	68
STN4L_00463	6	13	14	27	21	24	32	22	36	21	40	29	29	18	22	34	17	27
STN4L_00464	12442	9743	11083	15602	10669	10311	14294	11128	11216	12591	9461	10946	15636	16882	14858	12543	14049	8520
STN4L_00465	7105	5905	5453	7970	5719	5319	8677	8216	7917	6482	5400	5845	6817	6564	7039	5372	6086	4753
STN4L_00466	6447	5238	5561	8722	7589	7386	9146	6743	6641	6754	4854	8024	6424	7801	7228	5901	6832	4602
STN4L_00467	9905	7916	6940	10653	8297	7836	14793	13062	13840	9161	7591	7928	8945	9752	10015	8922	10080	7912
STN4L_00468	766	674	561	877	725	611	1348	1253	1374	781	693	724	780	776	789	702	903	820
STN4L_00469	2908	2291	2154	3182	2730	2651	4072	3776	4150	2842	2131	2416	2480	2868	2798	2274	2759	2263
STN4L_00470	7138	6270	5701	8548	7480	7075	11753	10435	11107	7806	6096	6603	7162	8626	8158	7554	8022	6715
STN4L_00471	5527	4399	5269	7421	6143	6471	11053	7855	9171	7225	5387	5986	6550	8018	7679	6650	7526	5387
STN4L_00472	6349	5399	6426	8769	7613	8387	11880	9113	9714	7453	5243	7795	7547	9442	8641	8019	9060	5962
STN4L_00473	6574	4983	5196	7646	5947	5369	9932	8411	8925	5566	4613	4692	5649	7290	6761	6599	7405	5930
STN4L_00474	9572	8892	9240	10037	7312	6807	6128	4941	5188	12000	9810	11838	8850	8161	6962	3856	4383	4055
STN4L_00475	8637	8814	8534	8051	6669	5892	4396	3749	4023	11465	8942	11536	7703	6822	5995	3024	3115	2773
STN4L_00476	14169	13673	14399	12941	11226	8625	6580	5394	6028	19928	15971	20968	12197	10910	10356	4352	4957	4189
STN4L_00477	15869	15077	14183	14427	14635	10406	6428	5634	5633	22405	18456	24969	13969	13274	11938	4683	5808	4194
STN4L_00478	26982	26251	24429	21157	22834	17315	11043	9921	10438	35644	28406	38590	20302	22319	20171	7656	9288	7141
STN4L_00479	7130	6487	6246	4739	5000	3891	2426	2145	2162	9046	7308	9317	4858	5515	5279	1583	1980	1445
STN4L_00480	11480	11151	10106	7711	8820	7186	3392	2819	2957	13377	10766	14230	7064	9681	8025	2549	3010	2395
STN4L_00481	47	34	22	56	46	43	72	54	53	55	34	53	41	63	38	43	34	57
STN4L_00482	1578	1715	1972	1410	1325	1254	927	719	797	2436	2617	2743	1174	1644	1307	517	573	577
STN4L_00483	21	25	35	38	34	19	13	16	9	55	70	57	34	32	55	11	15	15
STN4L_00484	213	275	459	350	243	247	218	180	158	595	710	623	291	405	362	126	137	168
