	I213_B_31	I213_B_32	I213_B_33	I213_B_41	I213_B_42	I213_B_43	I213_B_51	I213_B_52	I213_B_53	I213_C_31	I213_C_32	I213_C_33	I213_C_41	I213_C_42	I213_C_43	I213_C_51	I213_C_52	I213_C_53
STN4L_02143	2596	2567	2207	2672	2100	2041	1866	1494	1552	2593	1957	2723	2197	2215	1854	1243	1184	1007
STN4L_02144	79	100	88	132	75	89	109	98	75	176	162	145	105	89	87	62	67	53
STN4L_02145	4698	4891	3922	5088	4973	4459	3973	3041	2938	6163	4257	6066	4385	4231	3597	2548	2448	1978
STN4L_02146	4966	4153	2975	4032	3457	3090	2686	2406	2394	3994	2532	3642	2854	3211	2517	2069	1912	1760
STN4L_02147	321	302	350	338	291	255	278	213	197	503	308	366	327	319	298	184	159	146
STN4L_02148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_02149	221	225	245	301	245	224	212	165	167	382	254	338	254	237	247	155	136	112
STN4L_02150	1639	1578	1597	1689	1413	1186	1086	950	1146	1859	1356	1659	1486	1487	1237	857	801	872
STN4L_02151	3029	2997	2974	3307	2903	2205	1374	1082	1232	3534	2664	3335	3079	2804	2362	1148	1119	1127
STN4L_02152	32785	25672	23218	31591	24443	22019	63987	45137	67000	33033	24404	26046	26044	27881	28077	80244	64843	77843
STN4L_02153	2701	2400	2084	2630	2220	1986	2108	1710	2012	2476	2145	2489	1959	2116	1773	1340	1500	1215
STN4L_02154	898	907	882	1081	903	905	896	652	742	928	793	983	760	789	678	595	610	533
STN4L_02155	55623	58979	61926	67010	54177	48353	39730	31980	31984	75311	63111	75945	59623	51790	45108	20922	26392	18647
STN4L_02156	9638	9495	7952	11711	8891	7213	6149	6070	4772	11441	9067	10444	9985	7849	7265	2404	3333	2453
STN4L_02157	18894	17022	15985	23471	19386	15972	12033	10963	8321	23360	15600	20708	19443	17360	15490	5539	7205	5410
STN4L_02158	2289	2148	1905	3643	2915	2626	2330	1825	2059	2781	2088	2465	3528	3473	2970	2422	2165	2208
STN4L_02159	16114	13468	13895	19464	14905	13963	17364	12947	15079	18046	13456	15322	17246	16430	15154	13275	10718	11344
STN4L_02160	15575	13326	12849	17610	14587	13677	14534	10849	12874	19277	13650	16120	16023	15305	14030	10800	9051	9303
STN4L_02161	9760	8985	7818	11543	10260	9768	10773	7979	9494	13524	9813	11419	10876	10470	9256	7781	6028	6579
STN4L_02162	29851	25737	23840	32023	27639	26489	26125	19603	23505	31576	21654	28614	29025	29600	25039	24629	18372	17847
STN4L_02163	24196	20591	19800	22211	17929	17277	19236	14418	16982	21357	15993	19336	16351	18382	15481	13226	12256	9491
STN4L_02164	7920	7436	6324	8108	6946	5726	6185	4726	5315	7954	6258	6833	6416	6705	5772	4778	4590	4004
STN4L_02165	3721	2654	3133	3291	2126	2175	2771	1950	2164	2974	2146	2622	2592	2855	2431	2091	1868	1352
STN4L_02166	28392	23381	24346	26206	21573	20389	22700	18532	22726	30979	23285	25790	20650	22530	19645	15717	14488	13372
STN4L_02167	16	13	12	12	12	10	6	6	17	17	12	18	14	22	8	2	13	3
STN4L_02168	2544	2130	1720	2222	1474	1667	1103	1064	1042	2081	1487	2099	1581	1776	1301	694	830	579
STN4L_02169	8731	10900	11478	9607	7278	5526	3288	2627	2649	21115	16797	19511	11051	7024	5888	1343	1742	1531
STN4L_02170	32	30	21	33	21	20	33	26	46	25	14	28	24	14	28	22	27	36
STN4L_02171	72	65	82	81	89	62	136	72	90	100	77	103	93	74	69	107	100	93
STN4L_02172	7395	5645	6287	7795	6170	5748	8837	6560	9295	5594	4861	4570	5167	5597	5474	7852	6647	8393
STN4L_02173	5	0	6	9	11	3	16	14	12	9	12	12	11	14	8	8	20	12
